epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.283412,0.917731,0.318998,0.907064,0.03000000
2,0.208024,0.938843,0.250128,0.927485,0.02985000
3,0.170357,0.949792,0.221463,0.936653,0.02970075
4,0.147961,0.956412,0.204568,0.941446,0.02955225
5,0.130380,0.961644,0.190281,0.944989,0.02940449
6,0.118192,0.965000,0.181341,0.947906,0.02925746
7,0.105982,0.968426,0.172313,0.949990,0.02911118
8,0.098236,0.970972,0.166872,0.951657,0.02896562
9,0.091613,0.972731,0.162873,0.952490,0.02882079
10,0.082516,0.975671,0.155077,0.954991,0.02867669
11,0.077504,0.977685,0.150543,0.957283,0.02853330
12,0.072545,0.978704,0.147823,0.956449,0.02839064
